meet,meet-href,compiled,compiled-href,Overall,Name,Year,Team,Time,Overall,Name,Year,Team,Distance
"2017 West Lafayette Individuals","https://www.directathletics.com/results/track/47980.html","Compiled","https://www.directathletics.com/results/track/47980_f.html","3","Hoffman, Jada","JR","Marian Catholic (C.H.)","7.55","3","Hoffman, Jada","JR","Marian Catholic (C.H.)",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","16","Vinyard, Cody","JR","Menaul","","16","Vinyard, Cody","JR","Menaul","87'  10.5"""
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_m.html","0","Orien, Garrett","FR","Riverside","","0","Orien, Garrett","FR","Riverside","34.75m"
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","8","Skinner, Troy","JR","Los Lunas","","8","Skinner, Troy","JR","Los Lunas","102'  5.5"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Lyttle, Tekiyah","9","Dr. Michael Krop HS","","","Lyttle, Tekiyah","9","Dr. Michael Krop HS","DNS"
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_m.html","","Valenzuela, Omar","SO-2","UC Irvine","","","Valenzuela, Omar","SO-2","UC Irvine","FOUL"
"Hononegah Girls Classic","https://www.directathletics.com/results/track/48957.html","Compiled","https://www.directathletics.com/results/track/48957_f.html","30","Bullocks, Asia","FR","South Elgin","8.63","30","Bullocks, Asia","FR","South Elgin",""
"2017 Coed Golden Timer Meet","https://www.directathletics.com/results/track/49026.html","Compiled","https://www.directathletics.com/results/track/49026_m.html","27","Phillips, David","JR","Urban Prep","7.76","27","Phillips, David","JR","Urban Prep",""
"BHS Lady Raider Indoor","https://www.directathletics.com/results/track/49323.html","Compiled","https://www.directathletics.com/results/track/49323_f.html","8","Willis, Chanice","9","Champaign (Central)","8.52","8","Willis, Chanice","9","Champaign (Central)",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","","Johnson, Nia","FR","ABQ Academy","","","Johnson, Nia","FR","ABQ Academy","DQ"
"Artesia Junior High Meet","https://www.directathletics.com/results/track/49140.html","Compiled","https://www.directathletics.com/results/track/49140_m.html","21","Evans, Kendric","8","Ruidoso Middle School","14.00","21","Evans, Kendric","8","Ruidoso Middle School",""
"Hononegah Girls Classic","https://www.directathletics.com/results/track/48957.html","Compiled","https://www.directathletics.com/results/track/48957_f.html","48","Bracy, Andrea","JR","Streamwood","8.98","48","Bracy, Andrea","JR","Streamwood",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","4","Killebrew, Clayton","SR-4","Millsaps","","4","Killebrew, Clayton","SR-4","Millsaps","38.43m"
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","27","Staboza, Samuel","SO","Lincoln-Way Central","","27","Staboza, Samuel","SO","Lincoln-Way Central","27'  3"""
"BCL East Meet 1","https://www.directathletics.com/results/track/48213.html","Compiled","https://www.directathletics.com/results/track/48213_m.html","22","Arlen, Eric","FR","Athenian School","13.28","22","Arlen, Eric","FR","Athenian School",""
"IWU HSR Qualifier #2","https://www.directathletics.com/results/track/47225.html","Compiled","https://www.directathletics.com/results/track/47225_m.html","14","McGarvey, Will","JR","Warsaw Community","7.48","14","McGarvey, Will","JR","Warsaw Community",""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_m.html","6",",","","Peaster JH Boys","","6",",","","Peaster JH Boys","null"
"BHS Lady Raider Indoor","https://www.directathletics.com/results/track/49323.html","Compiled","https://www.directathletics.com/results/track/49323_f.html","7","Anderson, Mariah","12","Rock Island","8.46","7","Anderson, Mariah","12","Rock Island",""
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","",",","","Westinghouse","","",",","","Westinghouse","null"
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_m.html","4","Wade, Ryan","FR-1","Cal St. Fullerton","10.92","4","Wade, Ryan","FR-1","Cal St. Fullerton",""
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_m.html","5","Watson, Adarion","JR-3","Clayton State","11.12","5","Watson, Adarion","JR-3","Clayton State",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","","","","","","","","","",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","21","Pizano, Christopher","JR","Tinley Park","","21","Pizano, Christopher","JR","Tinley Park","29'  3"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","16","Lane, Na'Kiaya","9","Coral Gables HS","","16","Lane, Na'Kiaya","9","Coral Gables HS","23.88m"
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","5","Martinez, Samantha","SR","Santa Fe","","5","Martinez, Samantha","SR","Santa Fe","80'  3.5"""
"UAH Charger Invitational","https://www.directathletics.com/results/track/48978.html","Compiled","https://www.directathletics.com/results/track/48978_m.html","3","Claytor, Ricky","","Unattached","11.04","3","Claytor, Ricky","","Unattached",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Allen, Keri","11","North Miami HS","","","Allen, Keri","11","North Miami HS","DNS"
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_m.html","4","George, Chris","FR-1","USC-Beaufort","11.12","4","George, Chris","FR-1","USC-Beaufort",""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_m.html","5","Robinson, Jared","FR-1","Nova Southeastern","11.20","5","Robinson, Jared","FR-1","Nova Southeastern",""
"Jacksonville HS Indoor Class A","https://www.directathletics.com/results/track/48792.html","Compiled","https://www.directathletics.com/results/track/48792_f.html","5","Johnson, Tia","JR","Peoria Christian","8.31","5","Johnson, Tia","JR","Peoria Christian",""
"De La Salle Gold Invite","https://www.directathletics.com/results/track/49135.html","Compiled","https://www.directathletics.com/results/track/49135_m.html","1","Clark, Romell","JR","Dunbar","6.76","1","Clark, Romell","JR","Dunbar",""
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_m.html","59","Smith, Layne","FR","Blackford","10.03","59","Smith, Layne","FR","Blackford",""
"2017 Indian Open","https://www.directathletics.com/results/track/48196.html","Compiled","https://www.directathletics.com/results/track/48196_m.html","","","","","","","","","",""
"Gold Medal Invite 2017","https://www.directathletics.com/results/track/48984.html","Compiled","https://www.directathletics.com/results/track/48984_f.html","2","Hibbard, Samantha","SO","Sterling","7.90","2","Hibbard, Samantha","SO","Sterling",""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_f.html","2","Scott, Tejah","JR","Central, Baton Rouge","28.31","2","Scott, Tejah","JR","Central, Baton Rouge",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","2","Aviles, Jordan","SR","Homewood-Flossmoor","","2","Aviles, Jordan","SR","Homewood-Flossmoor","42'  7"""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_m.html","1","Williams, Burnell","JR","Central, Baton Rouge","","1","Williams, Burnell","JR","Central, Baton Rouge","null"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","5","Edwards, Andre","12","Spanish River HS","10.85","5","Edwards, Andre","12","Spanish River HS",""
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_f.html","","King, TiJanique","FR","Riverside","","","King, TiJanique","FR","Riverside","FOUL"
"Whiteland HSR Qualifier #1","https://www.directathletics.com/results/track/47067.html","Compiled","https://www.directathletics.com/results/track/47067_f.html","4","Hart, Tianna","SO","New Palestine","8.11","4","Hart, Tianna","SO","New Palestine",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","12","Santana-Ponce, Alejandro","FR-1","Christian Bros.","","12","Santana-Ponce, Alejandro","FR-1","Christian Bros.","14.19m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","7","Hill, Jayla","11","Miramar HS","","7","Hill, Jayla","11","Miramar HS","33.59m"
"PINE CREST PANTHER RELAYS","https://www.directathletics.com/results/track/48252.html","Compiled","https://www.directathletics.com/results/track/48252_f.html","2","Dockery-Thompson, Raevin","SO","South Florida HEAT","13.13","2","Dockery-Thompson, Raevin","SO","South Florida HEAT",""
"New Haven Invite","https://www.directathletics.com/results/track/47867.html","Compiled","https://www.directathletics.com/results/track/47867_m.html","57","Mayer, Mitchell","SO","Norwell","8.20","57","Mayer, Mitchell","SO","Norwell",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","20","Hill, Desean","Freshman","Homewood-Flossmoor","","20","Hill, Desean","Freshman","Homewood-Flossmoor","30'  0"""
"HF Girls Meet #4","https://www.directathletics.com/results/track/49108.html","Compiled","https://www.directathletics.com/results/track/49108_f.html","39","bratcher, Jaliyah","","Homewood-Flossmoor","9.88","39","bratcher, Jaliyah","","Homewood-Flossmoor",""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_m.html","4","Ramsey, Dikerrio","JR-3","Emmanuel (Ga.)","11.05","4","Ramsey, Dikerrio","JR-3","Emmanuel (Ga.)",""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","","","","","","","","","",""
"2017 West Lafayette Individuals","https://www.directathletics.com/results/track/47980.html","Compiled","https://www.directathletics.com/results/track/47980_m.html","8","Johnson, Eli","SR","Brownsburg","6.85","8","Johnson, Eli","SR","Brownsburg",""
"2017 Coed Golden Timer Meet","https://www.directathletics.com/results/track/49026.html","Compiled","https://www.directathletics.com/results/track/49026_f.html","6","Perry, Olivia","SO","Marian Catholic (C.H.)","7.86","6","Perry, Olivia","SO","Marian Catholic (C.H.)",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Style, Kameliah","12","Northeast HS (Oakland Par","","","Style, Kameliah","12","Northeast HS (Oakland Par","DNS"
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","1","Challacombe, Zoe","SR","Los Alamos","","1","Challacombe, Zoe","SR","Los Alamos","95'  7"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","13","Albert, Kareem","11","St. Thomas Aquinas HS","","13","Albert, Kareem","11","St. Thomas Aquinas HS","32.07m"
"Riverside City 4-Way","https://www.directathletics.com/results/track/49384.html","Compiled","https://www.directathletics.com/results/track/49384_f.html","2","Fleming, Tayler","JR-3","UC Riverside","","2","Fleming, Tayler","JR-3","UC Riverside","29.95m"
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_m.html","7","Morgan, Ryan","FR-1","UC Santa Barbara","11.15","7","Morgan, Ryan","FR-1","UC Santa Barbara",""
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_f.html","7","Jenkins, Sakora","FR","New Caney","14.45","7","Jenkins, Sakora","FR","New Caney",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","3","Moore, War'Vreunta","SR","Huntington","11.42","3","Moore, War'Vreunta","SR","Huntington",""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","","Payne, Dakota","FR","Siskiyous","","","Payne, Dakota","FR","Siskiyous","null"
"DePauw HSR Qualifier I","https://www.directathletics.com/results/track/47681.html","Compiled","https://www.directathletics.com/results/track/47681_m.html","2","Richardson, Raphael","SR","Avon","7.21","2","Richardson, Raphael","SR","Avon",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","1","Yates, Annabelle","SR","Neville","","1","Yates, Annabelle","SR","Neville","114'  4"""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","30","Garcia, Justin","SR","Capital","","30","Garcia, Justin","SR","Capital","72'  3.5"""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_f.html","3","Cochran, Kaitlyn","FR-1","Cal Lutheran","","3","Cochran, Kaitlyn","FR-1","Cal Lutheran","38.50m"
"Lane Heptathlon","https://www.directathletics.com/results/track/49364.html","Compiled","https://www.directathletics.com/results/track/49364_f.html","3","Curran, Sarah","FR","Lane CC","null","3","Curran, Sarah","FR","Lane CC",""
"Beach vs UCLA","https://www.directathletics.com/results/track/49303.html","Compiled","https://www.directathletics.com/results/track/49303_f.html","9","Brandon, Samaya","","Long Beach St.","12.64","9","Brandon, Samaya","","Long Beach St.",""
"IWU HSR Qualifier #2","https://www.directathletics.com/results/track/47225.html","Compiled","https://www.directathletics.com/results/track/47225_f.html","7","Pugh, Markaela","FR","Hamilton Heights","8.49","7","Pugh, Markaela","FR","Hamilton Heights",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","12","Howard, Dunn","JR","Tinley Park","","12","Howard, Dunn","JR","Tinley Park","34'  2"""
"Cal Opener 2017","https://www.directathletics.com/results/track/47376.html","Compiled","https://www.directathletics.com/results/track/47376_f.html","8","Scranton, Allison","SO-2","Cal Poly","","8","Scranton, Allison","SO-2","Cal Poly","39.82m"
"De La Salle Gold Invite","https://www.directathletics.com/results/track/49135.html","Compiled","https://www.directathletics.com/results/track/49135_f.html","5","Jones, Miara","SO","Noble/Corner","8.59","5","Jones, Miara","SO","Noble/Corner",""
"ERAU vs WV Wesleyan","https://www.directathletics.com/results/track/49041.html","Compiled","https://www.directathletics.com/results/track/49041_m.html","9","Fox, Adam","FR-1","West Virginia Wesleyan","","9","Fox, Adam","FR-1","West Virginia Wesleyan","38.46m"
"DePauw HSR Qualifier I","https://www.directathletics.com/results/track/47681.html","Compiled","https://www.directathletics.com/results/track/47681_f.html","3","Springer, Daija","SO","Avon","8.19","3","Springer, Daija","SO","Avon",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_m.html","5","Nations, Dagan","SO-2","Belhaven","","5","Nations, Dagan","SO-2","Belhaven","36.12m"
"York Girls Invitational #3","https://www.directathletics.com/results/track/48988.html","Compiled","https://www.directathletics.com/results/track/48988_f.html","5",",","","New Trier","","5",",","","New Trier","null"
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","6",",","","North Lawndale Prep","","6",",","","North Lawndale Prep","null"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","","Bell, Tanaiya","9","American HS","","","Bell, Tanaiya","9","American HS","ND"
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","10","Meegan, Alison","JR-3","UC Irvine","","10","Meegan, Alison","JR-3","UC Irvine","42.68m"
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","21","Laudarji, Valori","JR","Lane Tech","8.21","21","Laudarji, Valori","JR","Lane Tech",""
"Sycamore Boys Invite 2017","https://www.directathletics.com/results/track/49269.html","Compiled","https://www.directathletics.com/results/track/49269_m.html","14","Coakley, Dylan","SR","Sandwich","8.18","14","Coakley, Dylan","SR","Sandwich",""
"2017 PW Lady Panthers Invite","https://www.directathletics.com/results/track/48455.html","Compiled","https://www.directathletics.com/results/track/48455_f.html","","","","","","","","","",""
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_m.html","","","","","","","","","",""
"Jacksonville HS Indoor Class A","https://www.directathletics.com/results/track/48792.html","Compiled","https://www.directathletics.com/results/track/48792_m.html","1","Artman, Connor","JR","Carthage","7.14","1","Artman, Connor","JR","Carthage",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","17","Donaldson, Jamari","12","Homestead Senior HS","","17","Donaldson, Jamari","12","Homestead Senior HS","31.09m"
"ERAU vs WV Wesleyan","https://www.directathletics.com/results/track/49041.html","Compiled","https://www.directathletics.com/results/track/49041_f.html","3","Bush, Jordyn","FR-1","West Virginia Wesleyan","13.72","3","Bush, Jordyn","FR-1","West Virginia Wesleyan",""
"IWU HSR Qualifier #2","https://www.directathletics.com/results/track/47225.html","Compiled","https://www.directathletics.com/results/track/47225_m.html","2","Rodgers, Nolan","SR","Westfield","7.24","2","Rodgers, Nolan","SR","Westfield",""
"HF Indoor Meet 3/7","https://www.directathletics.com/results/track/49131.html","Compiled","https://www.directathletics.com/results/track/49131_m.html","35","Robustelli, Alec","SR","Lincoln-Way Central","7.95","35","Robustelli, Alec","SR","Lincoln-Way Central",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","8","Hogbin, Madison","FR","Neville","","8","Hogbin, Madison","FR","Neville","44'  2"""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_m.html","2","Williams, Glaston","7","Alvord MS","13.06","2","Williams, Glaston","7","Alvord MS",""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_f.html","3","Porter, LaShauna","FR-1","Occidental","12.67","3","Porter, LaShauna","FR-1","Occidental",""
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_m.html","3","Wood, Nick","SO","Ouachita Christian","","3","Wood, Nick","SO","Ouachita Christian","129'  6"""
"DePauw HSR Qualifier I","https://www.directathletics.com/results/track/47681.html","Compiled","https://www.directathletics.com/results/track/47681_m.html","5","Bierman, Mitch","SR","Newton","7.35","5","Bierman, Mitch","SR","Newton",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_f.html","1","Smith, Jazmyn","11","Gulliver Prep HS","11.92","1","Smith, Jazmyn","11","Gulliver Prep HS",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","11","Astorga, Luci","SO","Menaul","","11","Astorga, Luci","SO","Menaul","74'  6"""
"SCIAC Multi-Dual #1","https://www.directathletics.com/results/track/48614.html","Compiled","https://www.directathletics.com/results/track/48614_m.html","8","Neubert, Ainslie","FR-1","La Verne","","8","Neubert, Ainslie","FR-1","La Verne","31.31m"
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","","","","","","","","","",""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","6","DeGiovanni, Clem","SO","Merritt","","6","DeGiovanni, Clem","SO","Merritt","null"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","13","Enriquez, Ruben","10","South Dade HS","","13","Enriquez, Ruben","10","South Dade HS","32.07m"
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_m.html","2","Luszcz, Joe","SO","Kingwood Park","11.65","2","Luszcz, Joe","SO","Kingwood Park",""
"OWL HSR 2017","https://www.directathletics.com/results/track/48043.html","Compiled","https://www.directathletics.com/results/track/48043_f.html","51","Wright, Gabrielle","JR","Alexandria","10.53","51","Wright, Gabrielle","JR","Alexandria",""
"2017 American River Beaver Relays and Invitational","https://www.directathletics.com/results/track/48292.html","Compiled","https://www.directathletics.com/results/track/48292_m.html","","Dodgen, Thomas","FR","Siskiyous","","","Dodgen, Thomas","FR","Siskiyous","null"
"Savannah State Tiger Relays","https://www.directathletics.com/results/track/47013.html","Compiled","https://www.directathletics.com/results/track/47013_m.html","","","","","","","","","",""
"2017 Coed Golden Timer Meet","https://www.directathletics.com/results/track/49026.html","Compiled","https://www.directathletics.com/results/track/49026_f.html","","","","","","","","","",""
"Sycamore Boys Invite 2017","https://www.directathletics.com/results/track/49269.html","Compiled","https://www.directathletics.com/results/track/49269_m.html","6",",","","Hampshire","","6",",","","Hampshire","null"
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_f.html","2","Epps, Alanna","SO-2","UC Santa Barbara","12.34","2","Epps, Alanna","SO-2","UC Santa Barbara",""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_f.html","7","Williams, Khadija","FR-1","Albany State","","7","Williams, Khadija","FR-1","Albany State","10.12m"
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","27","Lafaille, Patrick","12","South Dade HS","","27","Lafaille, Patrick","12","South Dade HS","27.67m"
"D & H Sports Relays","https://www.directathletics.com/results/track/47619.html","Compiled","https://www.directathletics.com/results/track/47619_f.html","3","Johnson, Kiana","SO","Bastrop","13.81","3","Johnson, Kiana","SO","Bastrop",""
"All-UC Challenge","https://www.directathletics.com/results/track/48350.html","Compiled","https://www.directathletics.com/results/track/48350_m.html","5","Gibson, Julian","FR-1","UC Irvine","11.00","5","Gibson, Julian","FR-1","UC Irvine",""
"BHS Lady Raider Indoor","https://www.directathletics.com/results/track/49323.html","Compiled","https://www.directathletics.com/results/track/49323_f.html","1",",","","Rock Island","","1",",","","Rock Island","null"
